Outcomes

Feasible: ctr.T=0.05; ctr.ctr_min=3.88888888889; ctr.ctr_max=4.16666666667; kpi2=0.442328868275; y3=0.34386309462; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.88888888889; ctr.ctr_max=4.27777777778; kpi2=0.480551719125; y3=0.3744413753; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.88888888889; ctr.ctr_max=4.38888888889; kpi2=0.511724021402; y3=0.399379217122; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.88888888889; ctr.ctr_max=4.5; kpi2=0.584200314969; y3=0.457360251975; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=4.0; ctr.ctr_max=4.05555555556; kpi2=0.442631968413; y3=0.344105574731; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=4.0; ctr.ctr_max=4.16666666667; kpi2=0.46639583648; y3=0.363116669184; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=4.0; ctr.ctr_max=4.27777777778; kpi2=0.564001491979; y3=0.441201193583; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=4.0; ctr.ctr_max=4.38888888889; kpi2=0.590369903459; y3=0.462295922767; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=4.0; ctr.ctr_max=4.5; kpi2=0.65050160219; y3=0.510401281752; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.0; ctr.ctr_max=3.5; kpi2=0.389265104268; y3=0.298078750081; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.0; ctr.ctr_max=3.61111111111; kpi2=0.309910835119; y3=0.234595334762; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.0; ctr.ctr_max=3.72222222222; kpi2=0.330806159568; y3=0.251311594321; best-so-far=0.0699026767817
