Outcomes

Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.22222222222; ctr.ctr_max=3.0; kpi2=1.00204347573; y3=0.78830144725; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.22222222222; ctr.ctr_max=3.22222222222; kpi2=0.895554964918; y3=0.703110638601; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.22222222222; ctr.ctr_max=3.44444444444; kpi2=0.77006620269; y3=0.602719628819; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.22222222222; ctr.ctr_max=3.66666666667; kpi2=0.725259170009; y3=0.566874002674; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.22222222222; ctr.ctr_max=3.88888888889; kpi2=0.677687853504; y3=0.52881694947; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.22222222222; ctr.ctr_max=4.11111111111; kpi2=0.641900498123; y3=0.500187065165; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.22222222222; ctr.ctr_max=4.33333333333; kpi2=0.644402629782; y3=0.502188770493; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.22222222222; ctr.ctr_max=4.55555555556; kpi2=0.682686569738; y3=0.532815922457; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.22222222222; ctr.ctr_max=4.77777777778; kpi2=0.727524511717; y3=0.56868627604; best-so-far=0.0838976003775
Infeasible: ctr.T=0.0666666666667; ctr.ctr_min=2.22222222222; ctr.ctr_max=5.0; kpi2=0.752020889457; y3=0.588283378232; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.44444444444; ctr.ctr_max=3.0; kpi2=0.885907378685; y3=0.695392569614; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.44444444444; ctr.ctr_max=3.22222222222; kpi2=0.769226292919; y3=0.602047701002; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.44444444444; ctr.ctr_max=3.44444444444; kpi2=0.66310667344; y3=0.517152005419; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.44444444444; ctr.ctr_max=3.66666666667; kpi2=0.590476539149; y3=0.459047897986; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.44444444444; ctr.ctr_max=3.88888888889; kpi2=0.564930984666; y3=0.4386114544; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.44444444444; ctr.ctr_max=4.11111111111; kpi2=0.559916186486; y3=0.434599615855; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.44444444444; ctr.ctr_max=4.33333333333; kpi2=0.566646128556; y3=0.439983569512; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.44444444444; ctr.ctr_max=4.55555555556; kpi2=0.604774483034; y3=0.470486253094; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.44444444444; ctr.ctr_max=4.77777777778; kpi2=0.653119287561; y3=0.509162096715; best-so-far=0.0838976003775
Infeasible: ctr.T=0.0666666666667; ctr.ctr_min=2.44444444444; ctr.ctr_max=5.0; kpi2=0.705654422414; y3=0.551190204598; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.66666666667; ctr.ctr_max=3.0; kpi2=0.771989604783; y3=0.604258350493; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.66666666667; ctr.ctr_max=3.22222222222; kpi2=0.652874855653; y3=0.508966551189; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.66666666667; ctr.ctr_max=3.44444444444; kpi2=0.536834611896; y3=0.416134356184; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.66666666667; ctr.ctr_max=3.66666666667; kpi2=0.487955167005; y3=0.377030800271; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.66666666667; ctr.ctr_max=3.88888888889; kpi2=0.444385786821; y3=0.342175296123; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.66666666667; ctr.ctr_max=4.11111111111; kpi2=0.465708175477; y3=0.359233207048; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.66666666667; ctr.ctr_max=4.33333333333; kpi2=0.502370219166; y3=0.388562841999; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.66666666667; ctr.ctr_max=4.55555555556; kpi2=0.549621304256; y3=0.426363710071; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.66666666667; ctr.ctr_max=4.77777777778; kpi2=0.599802236419; y3=0.466508455802; best-so-far=0.0838976003775
Infeasible: ctr.T=0.0666666666667; ctr.ctr_min=2.66666666667; ctr.ctr_max=5.0; kpi2=0.661222838708; y3=0.515644937633; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.88888888889; ctr.ctr_max=3.0; kpi2=0.655735248358; y3=0.511254865353; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.88888888889; ctr.ctr_max=3.22222222222; kpi2=0.538894921688; y3=0.417782604017; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.88888888889; ctr.ctr_max=3.44444444444; kpi2=0.420895726028; y3=0.323383247489; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.88888888889; ctr.ctr_max=3.66666666667; kpi2=0.36937097604; y3=0.282163447499; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.88888888889; ctr.ctr_max=3.88888888889; kpi2=0.356348453798; y3=0.271745429705; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.88888888889; ctr.ctr_max=4.11111111111; kpi2=0.372902649861; y3=0.284988786555; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.88888888889; ctr.ctr_max=4.33333333333; kpi2=0.4297391497; y3=0.330457986427; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.88888888889; ctr.ctr_max=4.55555555556; kpi2=0.493702595326; y3=0.381628742927; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=2.88888888889; ctr.ctr_max=4.77777777778; kpi2=0.568581052703; y3=0.441531508829; best-so-far=0.0838976003775
Infeasible: ctr.T=0.0666666666667; ctr.ctr_min=2.88888888889; ctr.ctr_max=5.0; kpi2=0.630841484258; y3=0.491339854073; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.22222222222; kpi2=0.422717155342; y3=0.32484039094; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.44444444444; kpi2=0.307129654825; y3=0.232370390527; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.66666666667; kpi2=0.261876246442; y3=0.19616766382; best-so-far=0.0838976003775
